epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9073,0.82662,1.9948,1.08702,0.87283,0.82839,0.91839,0.73853,0.71461,1.89911,0.98379,0.000655367,0.000655367,0.000655367
2,119.498,0.8785,1.41339,1.11165,0.81441,0.83226,0.89711,0.66425,0.82938,1.7432,1.04471,0.00130567,0.00130567,0.00130567
3,178.474,1.00331,1.38117,1.17497,0.87692,0.92131,0.96386,0.72814,0.80153,1.48409,1.02993,0.00193948,0.00193948,0.00193948
4,246.497,0.99495,1.24153,1.16311,0.64023,0.48276,0.53318,0.39539,1.191,2.60706,1.50801,0.00192575,0.00192575,0.00192575
5,311.103,0.98386,1.18107,1.16518,0.82601,0.65485,0.78465,0.62246,0.81869,1.68549,1.07945,0.001901,0.001901,0.001901
6,374.539,0.91194,0.9912,1.13129,0.91532,0.93966,0.97412,0.77099,0.73574,1.44431,0.98227,0.00187625,0.00187625,0.00187625
7,428.028,0.92326,0.96085,1.12669,0.87419,0.83621,0.90551,0.66092,0.82997,1.2028,1.05801,0.0018515,0.0018515,0.0018515
8,481.136,0.8681,0.91893,1.09544,0.96423,0.92945,0.97995,0.76477,0.79768,0.86738,1.00624,0.00182675,0.00182675,0.00182675
9,534.828,0.8431,0.82106,1.09581,0.98742,0.98276,0.99183,0.82065,0.66454,0.6697,0.94549,0.001802,0.001802,0.001802
10,597.083,0.79726,0.77424,1.06141,0.92503,0.87069,0.93007,0.7555,0.72357,0.88198,1.00111,0.00177725,0.00177725,0.00177725
11,661.264,0.76582,0.73764,1.03997,0.99121,0.97231,0.99392,0.80514,0.62175,0.55324,0.90939,0.0017525,0.0017525,0.0017525
12,715.528,0.74355,0.68476,1.04902,0.9733,0.94294,0.97097,0.80666,0.64675,0.5788,0.96095,0.00172775,0.00172775,0.00172775
13,771.144,0.77499,0.67901,1.06124,0.96589,0.97644,0.99289,0.83471,0.60765,0.54786,0.91797,0.001703,0.001703,0.001703
14,832.484,0.75279,0.70392,1.05345,0.98296,0.99458,0.99457,0.83462,0.60794,0.53881,0.90688,0.00167825,0.00167825,0.00167825
15,886.66,0.70908,0.64772,1.02916,0.95627,0.94267,0.98891,0.84764,0.57037,0.56611,0.89122,0.0016535,0.0016535,0.0016535
16,939.214,0.70176,0.62014,1.03379,0.95808,0.98521,0.99038,0.87413,0.57009,0.4994,0.90028,0.00162875,0.00162875,0.00162875
17,998.092,0.69548,0.61977,1.03523,0.9627,0.99138,0.99414,0.87047,0.53592,0.4755,0.87604,0.001604,0.001604,0.001604
18,1060.89,0.68466,0.61787,1.01267,0.96489,0.94769,0.97123,0.84514,0.55781,0.53879,0.89254,0.00157925,0.00157925,0.00157925
19,1123.43,0.69659,0.60253,1.03227,0.98923,0.99138,0.99198,0.87106,0.51995,0.4159,0.87917,0.0015545,0.0015545,0.0015545
20,1186.05,0.68721,0.6038,1.02489,0.99044,1,0.99491,0.88036,0.56332,0.43752,0.86493,0.00152975,0.00152975,0.00152975
21,1249.25,0.67147,0.58253,1.01331,0.9901,0.99138,0.99319,0.88528,0.53335,0.40499,0.85375,0.001505,0.001505,0.001505
22,1312.1,0.63677,0.54013,0.98933,0.94768,0.93699,0.94874,0.8285,0.56948,0.53776,0.90307,0.00148025,0.00148025,0.00148025
23,1374.63,0.64639,0.56435,0.9916,0.98255,0.99138,0.99396,0.87657,0.54984,0.39913,0.86877,0.0014555,0.0014555,0.0014555
24,1433.61,0.64564,0.5615,0.98826,0.99849,1,0.995,0.87817,0.51888,0.36501,0.86955,0.00143075,0.00143075,0.00143075
25,1486.32,0.6492,0.55314,1.00572,0.98669,0.98276,0.99466,0.87283,0.50161,0.42165,0.85985,0.001406,0.001406,0.001406
26,1539.1,0.61962,0.51452,0.9824,0.98223,1,0.99371,0.89356,0.47045,0.35103,0.84366,0.00138125,0.00138125,0.00138125
27,1598.92,0.6525,0.52477,1.0055,0.999,1,0.995,0.89542,0.49668,0.34738,0.85576,0.0013565,0.0013565,0.0013565
28,1660.86,0.61002,0.51171,0.98333,0.99832,0.98276,0.99491,0.88505,0.48799,0.34999,0.84918,0.00133175,0.00133175,0.00133175
29,1716.16,0.59218,0.48086,0.98001,0.99081,1,0.99483,0.89452,0.46154,0.32272,0.83394,0.001307,0.001307,0.001307
30,1768.61,0.66074,0.52202,1.02676,0.9994,1,0.995,0.89683,0.48809,0.33215,0.84511,0.00128225,0.00128225,0.00128225
31,1821.57,0.64483,0.55512,1.00183,0.9807,0.99138,0.99343,0.87225,0.47605,0.35721,0.85828,0.0012575,0.0012575,0.0012575
32,1874.19,0.60496,0.49553,0.98371,0.98288,1,0.99405,0.89664,0.49611,0.37164,0.8623,0.00123275,0.00123275,0.00123275
33,1926.79,0.61396,0.505,0.98709,0.98829,0.99138,0.99483,0.89426,0.46688,0.33822,0.83074,0.001208,0.001208,0.001208
34,1981.2,0.6054,0.50801,0.97823,0.98196,1,0.99448,0.88941,0.53563,0.34533,0.88474,0.00118325,0.00118325,0.00118325
35,2032.91,0.57832,0.47368,0.97084,0.98283,0.98666,0.99439,0.90606,0.44426,0.31836,0.83309,0.0011585,0.0011585,0.0011585
36,2090.72,0.61112,0.49833,0.99817,0.99857,0.97414,0.99458,0.88678,0.46442,0.33978,0.84457,0.00113375,0.00113375,0.00113375
37,2145.88,0.58814,0.49555,0.98018,0.99953,1,0.995,0.90911,0.4493,0.30652,0.8356,0.001109,0.001109,0.001109
38,2201.12,0.55898,0.47379,0.95391,0.99949,1,0.995,0.91617,0.44596,0.33692,0.83436,0.00108425,0.00108425,0.00108425
39,2252.53,0.53232,0.45068,0.9647,1,0.9992,0.995,0.90904,0.42548,0.31285,0.83015,0.0010595,0.0010595,0.0010595
40,2310.74,0.53174,0.43009,0.96372,0.99145,0.99928,0.995,0.90865,0.44331,0.30794,0.84497,0.00103475,0.00103475,0.00103475
41,2366.56,0.53774,0.43223,0.96583,0.99114,1,0.99491,0.91949,0.40919,0.30196,0.82676,0.00101,0.00101,0.00101
